ID,Application_Date,Applicant_Income,Applicant_Age,Loan_Amount,Loan_Term,Credit_Score,Employment_Years,Education_Level,Current_Address_Years,Has_Collateral,Debt_To_Income_Ratio,Approved
24216,6/10/2020,45370,35,268470,3,499,6,Postgraduate,10,1,0.351103931,0
15057,6/10/2020,49680,50,268320,6,794,22,Bachelor,3,1,0.734044045,1
23465,6/11/2020,87730,50,75110,6,684,7,Doctoral,10,0,0.54726127,1
18014,6/11/2020,36050,44,146160,7,509,27,Bachelor,12,0,0.689383776,0
2080,6/11/2020,39290,48,105290,7,572,28,Postgraduate,1,1,0.189386436,1
20618,6/11/2020,69210,46,190920,6,318,18,Bachelor,2,0,0.319611912,1
12825,6/11/2020,43960,42,122310,4,359,9,Postgraduate,6,1,0.301938188,1
11745,6/12/2020,80370,49,101320,5,489,5,Postgraduate,9,1,0.381622128,1
11323,6/12/2020,89600,41,172390,4,497,8,Doctoral,10,1,0.319456746,1
15055,6/12/2020,49320,45,226290,1,781,6,Doctoral,8,1,1.382860573,0
11794,6/12/2020,41440,41,163770,2,729,3,Postgraduate,8,1,0.814223512,1
11571,6/12/2020,73660,22,227790,1,269,4,Postgraduate,9,1,0.174365725,1
3978,6/12/2020,98730,39,102900,5,510,6,Bachelor,13,1,0.425340385,1
13102,6/15/2020,59520,58,238780,3,462,7,Doctoral,14,1,1.122615804,0
3379,6/15/2020,46120,39,259330,8,338,11,Bachelor,2,1,0.333086359,1
7333,6/15/2020,99800,52,158770,9,490,19,Doctoral,1,0,0.58986555,0
4309,6/15/2020,47210,56,70740,9,467,29,Bachelor,6,0,0.740850748,1
17393,6/15/2020,99930,43,278150,3,607,16,High School,14,1,0.522560696,1
5589,6/15/2020,87960,21,139070,1,462,21,Bachelor,9,0,1.261548065,1
8586,6/15/2020,58450,24,135330,7,522,20,Postgraduate,6,1,0.494225922,1
12167,6/15/2020,79290,44,205810,4,520,16,Doctoral,2,1,1.273818026,0
1803,6/15/2020,84020,42,256770,1,289,1,Postgraduate,14,1,3.930879713,0
3029,6/17/2020,96180,37,273200,5,630,3,Bachelor,8,0,1.127908336,0
21725,6/17/2020,60920,42,183610,6,722,24,Bachelor,3,0,0.542868277,0
3330,6/17/2020,94940,49,223300,2,546,24,Postgraduate,12,1,0.482316639,1
9193,6/17/2020,37840,25,119710,2,648,7,Postgraduate,14,1,0.669382504,0
10755,6/17/2020,85450,27,241220,5,532,9,Bachelor,8,0,1.116743286,0
18595,6/17/2020,61700,27,74350,9,289,20,High School,13,1,0.60577858,1
12127,6/18/2020,60810,23,297740,3,483,4,Postgraduate,13,0,0.448376664,0
2463,6/18/2020,44130,27,250460,4,714,21,Bachelor,12,1,1.331843121,1
16879,6/18/2020,98100,40,275750,2,782,26,Postgraduate,14,1,1.108030248,1
1243,6/18/2020,57340,23,176230,9,624,13,Bachelor,12,1,0.154795385,0
3985,6/18/2020,75190,29,90750,3,462,21,Bachelor,8,0,0.209641045,0
21528,6/18/2020,95930,27,69030,2,515,6,Bachelor,1,0,1.232313096,1
1763,6/19/2020,32320,54,181450,3,513,25,Postgraduate,4,0,0.350867637,0
22107,6/19/2020,78130,55,297350,8,499,9,Postgraduate,1,0,0.831730261,0
11905,6/19/2020,42140,36,87800,3,374,4,Postgraduate,12,1,2.471830986,1
18652,6/19/2020,74430,36,63170,6,677,24,Bachelor,7,0,0.517944717,0
14773,6/19/2020,52000,31,55770,7,436,16,Bachelor,11,0,0.219951437,0
19379,6/22/2020,34650,26,164550,3,755,5,Bachelor,5,1,0.175636034,1
16757,6/22/2020,59380,28,233630,2,769,27,Bachelor,7,1,0.508963504,1
19090,6/22/2020,90280,31,107660,2,508,26,Bachelor,9,0,0.80642346,0
15804,6/22/2020,35880,28,111890,3,576,25,Postgraduate,9,1,0.526765724,1
21828,6/22/2020,58590,51,230540,2,616,29,Postgraduate,8,1,0.098188131,1
17830,6/22/2020,72180,37,52210,8,483,4,Bachelor,7,0,0.214857788,0
19929,6/22/2020,39430,28,162850,9,705,9,Postgraduate,12,1,0.234100523,1
10561,6/22/2020,46540,40,168620,7,348,26,Postgraduate,14,1,0.070991048,1
18927,6/22/2020,49460,31,236590,6,687,23,Bachelor,2,0,0.817141523,1
19395,6/22/2020,71160,46,168220,8,553,8,Doctoral,12,1,0.392180542,1
1130,6/22/2020,98490,53,252230,5,738,14,Bachelor,4,1,0.540104458,0
17314,6/22/2020,97610,38,169720,1,646,18,Bachelor,12,0,0.968528464,0
1850,6/22/2020,51950,45,235480,4,406,27,Bachelor,9,1,0.16736465,1
11473,6/22/2020,81190,48,266040,7,712,14,Doctoral,6,0,0.696390872,0
1310,6/23/2020,88900,27,203980,8,784,14,Doctoral,1,0,0.444373492,0
3059,6/23/2020,66970,44,193930,6,319,10,Bachelor,13,0,0.523150854,1
13453,6/24/2020,53690,26,75910,1,566,22,Postgraduate,1,0,0.283274369,0
7336,6/24/2020,64040,47,222990,9,548,19,Doctoral,13,1,1.519298246,1
17510,6/24/2020,61220,37,211260,6,765,1,Bachelor,13,0,0.176512065,1
4743,6/24/2020,58130,58,57060,1,542,1,Bachelor,14,1,0.668207607,1
1105,6/25/2020,72390,44,68680,2,784,10,Doctoral,7,0,0.337472013,0
8473,6/25/2020,31600,51,126370,9,783,10,Doctoral,11,1,1.000168947,0
24102,6/25/2020,51470,54,73380,8,307,18,Postgraduate,5,0,0.340054848,0
14656,6/25/2020,54840,52,199330,7,787,18,Bachelor,11,0,0.618761553,0
2492,6/25/2020,48440,49,157430,2,264,12,Bachelor,5,0,0.153767246,1
7648,6/25/2020,40030,48,159650,8,707,15,Bachelor,7,1,0.35909935,1
2933,6/25/2020,95130,25,283050,7,341,9,Bachelor,4,0,0.478630886,0
18646,6/25/2020,56190,48,54940,1,702,2,Postgraduate,13,0,0.433185116,0
23802,6/25/2020,67500,33,226930,4,467,14,Bachelor,14,1,0.835175126,1
3040,6/25/2020,32920,59,72460,2,484,2,Postgraduate,10,0,0.377562961,1
5158,6/25/2020,54160,36,62810,2,370,3,High School,2,0,0.792818671,0
16961,6/25/2020,94220,32,190560,3,262,14,Postgraduate,1,0,0.130722039,0
16832,6/26/2020,56090,58,158660,3,405,3,Doctoral,12,0,0.253652259,0
8833,6/26/2020,63830,57,269320,6,735,22,Postgraduate,4,0,0.474588048,0
6064,6/29/2020,76250,57,293510,9,511,16,Bachelor,4,0,0.698627696,0
15851,6/29/2020,67790,35,291130,1,509,16,Bachelor,9,0,1.17850502,0
19484,6/29/2020,76340,41,130290,5,407,9,Postgraduate,9,1,0.728476821,1
23565,6/29/2020,52280,47,72180,2,783,4,Postgraduate,14,1,0.339750585,1
4291,6/29/2020,73590,25,265840,9,731,10,Bachelor,8,1,0.474559395,1
8513,6/29/2020,36920,42,160180,4,278,13,Doctoral,7,1,0.45984533,0
2124,6/29/2020,53570,42,84810,5,308,15,Doctoral,7,0,0.611591256,1
24326,6/29/2020,56330,47,80810,7,288,10,Doctoral,8,1,2.120903595,1
24246,6/30/2020,66580,49,74050,5,545,1,Postgraduate,3,0,1.048931384,1
11153,6/30/2020,30680,33,239490,9,335,2,Doctoral,6,1,0.644961839,1
9531,6/30/2020,33640,35,74030,3,336,5,Postgraduate,14,0,0.124040212,0
21713,6/30/2020,61270,53,171240,4,590,20,Postgraduate,14,1,0.510858325,1
7541,6/30/2020,77680,52,236130,8,563,2,Bachelor,11,1,1.018648583,1
14214,7/1/2020,39470,47,72310,7,347,16,Postgraduate,3,1,0.203561161,1
7987,7/1/2020,94800,34,140970,5,481,12,Postgraduate,1,1,0.071022579,1
17768,7/2/2020,58110,27,68590,3,691,10,High School,1,1,0.07078146,1
18089,7/2/2020,71530,22,283630,2,626,10,High School,4,1,0.863636364,1
15652,7/2/2020,94780,37,140610,3,512,21,Bachelor,9,1,0.654699739,0
11651,7/2/2020,72260,26,110670,8,497,21,Doctoral,13,1,0.485865239,1
21931,7/2/2020,99870,31,62470,3,349,4,Postgraduate,5,1,0.280562225,1
21502,7/2/2020,60780,39,297400,8,763,9,Postgraduate,7,0,0.324872546,0
15159,7/2/2020,84690,53,124800,7,611,10,Bachelor,4,1,0.096700442,1
2889,7/2/2020,41360,50,146370,8,527,1,Postgraduate,2,0,0.153599374,0
1442,7/2/2020,73160,30,124190,9,706,28,Doctoral,5,0,0.469889279,0
20445,7/2/2020,45920,39,120090,5,357,10,Postgraduate,12,0,0.642268299,0
12174,7/2/2020,55640,34,157710,1,439,28,Postgraduate,14,0,0.345756021,0
18410,7/2/2020,62650,37,171100,9,479,7,Postgraduate,10,0,2.177131336,1
14036,7/2/2020,32310,36,156600,5,276,8,Doctoral,7,1,0.270451707,1
17904,7/2/2020,54670,59,245480,5,438,20,Postgraduate,2,1,0.53477129,1
13408,7/3/2020,65660,43,69100,7,774,17,Doctoral,9,1,0.330968983,1
22628,7/3/2020,86670,48,231970,1,770,7,High School,2,1,1.98511502,1
2042,7/3/2020,45830,38,223760,1,726,21,Bachelor,5,0,0.512933627,0
20606,7/3/2020,88410,47,146440,1,311,7,Bachelor,2,0,0.289209906,0
14054,7/3/2020,47810,29,65600,2,635,29,Postgraduate,12,1,1.094516273,1
4568,7/3/2020,90150,47,131130,2,265,7,Postgraduate,13,0,0.214478591,0
23539,7/3/2020,51320,30,145970,2,559,26,Doctoral,1,1,0.206038857,1
23549,7/3/2020,47290,44,149450,7,280,16,Bachelor,1,0,0.381990454,0
19679,7/3/2020,31790,54,259630,2,722,18,Postgraduate,10,0,0.779219398,1
6895,7/3/2020,58620,38,274950,1,661,8,Postgraduate,13,0,0.330188679,0
10094,7/3/2020,34080,28,263280,3,618,21,Bachelor,13,0,0.182602349,1
16955,7/3/2020,89550,59,269450,4,285,12,Postgraduate,5,0,0.529342654,1
13105,7/6/2020,64080,42,157950,9,442,10,Bachelor,14,0,0.396077111,0
19210,7/6/2020,32130,53,222790,4,266,3,Bachelor,14,1,0.387778218,0
8825,7/6/2020,90580,57,85940,9,678,19,Doctoral,1,1,0.439166328,1
17838,7/6/2020,56260,41,133100,4,582,22,Bachelor,12,0,0.152781832,0
15335,7/6/2020,30080,29,215420,1,429,2,Postgraduate,3,1,0.422833333,1
7784,7/7/2020,82220,35,151710,6,571,4,Doctoral,7,0,0.776191228,1
20786,7/8/2020,73970,47,189270,3,344,21,Doctoral,4,1,0.294438615,1
10876,7/8/2020,81940,32,181420,8,299,28,Bachelor,5,0,0.171140524,1
14347,7/8/2020,82630,50,282460,8,460,8,Postgraduate,3,0,0.287193722,0
17433,7/8/2020,92540,29,237720,3,734,23,Doctoral,10,1,0.322853885,0
9796,7/8/2020,59900,36,207340,3,750,8,Doctoral,12,1,0.155570241,0
1462,7/8/2020,46190,49,150040,6,538,23,Postgraduate,4,0,1.699344149,0
21046,7/8/2020,45980,26,105810,1,662,3,Postgraduate,9,0,0.737711251,0
9622,7/8/2020,53300,43,298440,5,296,27,Postgraduate,2,0,0.478509532,0
17259,7/8/2020,71400,39,205640,4,531,20,Doctoral,4,1,0.614371874,1
17196,7/8/2020,38630,43,299280,2,577,15,Postgraduate,13,1,0.581666933,0
22262,7/8/2020,45160,49,60480,4,439,18,Postgraduate,5,1,0.795512243,1
4720,7/8/2020,79370,56,130500,2,519,14,High School,10,0,0.222222222,0
21067,7/8/2020,31320,40,177660,9,473,4,Bachelor,6,0,0.605661929,0
9576,7/9/2020,68860,24,156360,5,694,27,Doctoral,10,0,0.406303754,0
5350,7/9/2020,73420,41,217440,1,653,26,Bachelor,14,0,1.202901246,0
12781,7/9/2020,52310,26,211120,8,467,22,Doctoral,1,0,0.775529085,0
22864,7/9/2020,50010,36,138120,1,527,17,Bachelor,5,1,0.304430338,1
3147,7/9/2020,68490,49,114790,5,534,2,Doctoral,3,1,0.868074686,0
3898,7/10/2020,34110,34,117480,2,579,2,High School,2,0,0.936041402,0
10495,7/10/2020,93310,39,259360,1,664,20,High School,1,1,0.422118622,1
20472,7/10/2020,56470,43,217970,7,356,29,Bachelor,10,0,0.245508982,1
15051,7/10/2020,38880,50,180140,2,518,20,Bachelor,1,0,0.412445415,1
18116,7/10/2020,31200,50,83980,8,392,3,Doctoral,8,0,0.212060764,0
1054,7/10/2020,82480,22,167630,9,592,13,Postgraduate,8,0,0.226141079,0
18409,7/10/2020,55960,33,163870,6,346,2,Postgraduate,1,0,1.061508704,1
13110,7/10/2020,69900,22,217900,3,765,5,Doctoral,11,1,0.205473922,1
21160,7/10/2020,88980,24,280510,9,266,27,Postgraduate,3,0,0.681237063,0
24231,7/13/2020,65970,31,215000,1,665,14,Bachelor,11,1,1.88307222,1
13534,7/13/2020,92300,24,102900,2,316,8,Bachelor,9,1,0.432418495,1
21945,7/13/2020,68470,48,189720,3,764,19,Bachelor,7,1,0.063738476,1
12061,7/13/2020,92840,23,210440,5,785,21,Doctoral,1,0,0.497269749,1
12942,7/13/2020,76390,40,142970,2,651,7,Doctoral,4,0,1.05137735,1
6930,7/13/2020,57270,35,123060,8,731,5,Postgraduate,14,0,0.424192929,0
9085,7/13/2020,52730,45,292740,6,283,17,Bachelor,6,0,0.377185848,0
9432,7/14/2020,77500,22,209110,3,299,2,Bachelor,14,0,0.478953108,0
2300,7/15/2020,63780,27,297020,2,421,12,Bachelor,14,1,0.079397363,0
7763,7/15/2020,56890,24,272610,1,384,20,Doctoral,10,1,0.178308178,0
13118,7/15/2020,33740,53,72600,3,498,19,High School,4,0,0.403567381,1
14413,7/15/2020,57790,57,298910,9,289,27,Postgraduate,8,1,0.064580119,1
23989,7/16/2020,36180,29,133090,1,469,18,Bachelor,9,0,0.11668682,0
20157,7/16/2020,43170,21,226980,1,755,7,Doctoral,13,0,0.660516319,0
2505,7/16/2020,64190,55,107960,9,539,23,Bachelor,9,0,0.725903033,0
3537,7/16/2020,91420,47,119620,5,719,28,Bachelor,5,0,0.832274602,0
21958,7/16/2020,62390,34,293820,5,306,20,Postgraduate,14,1,0.772543488,1
3037,7/16/2020,73800,22,120420,5,286,23,Bachelor,6,0,1.052898391,0
23853,7/16/2020,75270,52,187820,5,795,14,Bachelor,13,1,0.484471494,1
15289,7/16/2020,40520,24,198110,9,639,3,Bachelor,14,0,2.018524236,0
20498,7/16/2020,85590,28,109630,6,552,26,Doctoral,11,1,0.425960204,1
5905,7/16/2020,62630,36,108960,6,704,24,Bachelor,8,1,2.318898767,1
9324,7/16/2020,46470,40,196700,5,717,15,Postgraduate,4,0,0.195984148,1
4203,7/16/2020,77160,51,106790,3,429,14,Bachelor,3,0,0.461279041,0
15933,7/16/2020,39100,22,145790,2,416,6,Bachelor,1,1,0.100444734,0
3439,7/17/2020,82260,56,131000,9,298,17,Postgraduate,10,1,0.422629969,0
21821,7/17/2020,97080,31,248430,7,612,10,Doctoral,10,0,0.244497843,0
16602,7/17/2020,32570,24,189030,8,729,23,Doctoral,2,0,0.603515899,0
18167,7/17/2020,92130,52,70830,9,442,12,Bachelor,2,1,1.49436796,1
5807,7/17/2020,91410,31,107710,6,512,3,Doctoral,13,1,1.762351779,0
1032,7/17/2020,44280,28,279290,5,386,3,Bachelor,3,1,0.813202247,1
8806,7/17/2020,84610,55,178730,3,734,24,Doctoral,6,0,3.479487179,1
16525,7/17/2020,90660,31,266370,3,747,19,Doctoral,1,1,0.525284178,1
20515,7/20/2020,36840,32,207100,9,493,6,Bachelor,9,0,0.357729557,0
12676,7/20/2020,39930,34,143830,9,285,16,Bachelor,1,1,0.465710644,0
11006,7/20/2020,47320,21,256430,7,518,18,Doctoral,12,1,0.364073931,1
4312,7/20/2020,79650,24,183130,1,285,16,Postgraduate,2,1,0.130474135,0
18650,7/20/2020,36730,43,63110,8,767,13,Bachelor,2,1,1.744758432,0
9617,7/20/2020,47190,39,76350,9,726,16,Postgraduate,2,1,1.225932435,1
7886,7/20/2020,49920,40,183160,1,342,5,Bachelor,10,0,0.385124372,0
9248,7/20/2020,54270,50,291010,4,281,27,Bachelor,4,0,0.283486172,0
7187,7/20/2020,77420,45,126040,3,461,26,Postgraduate,7,0,1.461596958,0
5743,7/20/2020,76980,52,120870,8,710,18,Postgraduate,1,0,1.957762238,0
17016,7/20/2020,88740,39,267680,3,546,21,Postgraduate,3,0,2.285987261,0
7945,7/20/2020,78920,35,160220,1,624,27,Postgraduate,6,1,0.487137271,1
10505,7/20/2020,70300,36,192080,7,789,14,Postgraduate,11,1,0.188355528,1
19597,7/20/2020,89870,42,124140,9,473,22,Postgraduate,11,0,0.158978583,0
8919,7/21/2020,72740,34,190650,1,620,7,Postgraduate,7,1,1.704391468,0
22532,7/21/2020,65280,28,71200,6,756,22,Doctoral,9,1,1.194759825,1
7702,7/21/2020,43460,27,125230,2,417,13,Postgraduate,8,0,0.436128556,1
9058,7/21/2020,77960,47,105560,4,514,5,Postgraduate,1,1,0.151309302,1
7338,7/22/2020,71580,45,194930,9,669,8,Bachelor,11,0,0.256985322,1
15112,7/22/2020,32660,35,191680,5,776,6,Postgraduate,13,1,0.523581322,1
21499,7/22/2020,82250,35,286310,7,785,19,Doctoral,13,1,0.575739567,1
19934,7/23/2020,35220,53,235160,7,448,12,Bachelor,7,1,0.309222798,1
14404,7/23/2020,90060,59,73550,3,612,3,Postgraduate,10,1,0.721348957,0
5668,7/23/2020,67190,34,103760,1,694,16,Postgraduate,6,0,0.230435998,0
23250,7/23/2020,50570,32,251150,7,433,7,High School,8,1,0.276495915,0
21477,7/23/2020,44060,30,75840,8,382,4,Postgraduate,4,0,0.074581738,0
16749,7/23/2020,44280,24,272240,1,691,1,Bachelor,12,0,1.060057748,0
24185,7/23/2020,91180,43,204970,3,603,17,Doctoral,1,1,0.578871391,0
1866,7/23/2020,72340,24,111360,6,797,8,Bachelor,14,1,0.117326223,0
17430,7/24/2020,54340,43,267360,7,591,17,Bachelor,7,0,0.294907187,1
15699,7/24/2020,42610,31,285170,6,709,13,Postgraduate,1,0,0.692411316,0
23158,7/24/2020,80460,22,193170,5,620,11,Postgraduate,9,0,0.422808431,0
20911,7/24/2020,95690,40,166720,5,376,25,Doctoral,12,1,0.243096307,0
5789,7/24/2020,93060,34,282880,1,792,1,High School,6,1,0.836872087,0
7813,7/24/2020,76120,44,296240,6,250,18,Bachelor,10,1,0.184083953,1
7721,7/24/2020,65200,43,68800,7,586,6,Bachelor,4,0,0.699292453,0
22660,7/24/2020,88890,42,129400,4,416,6,Doctoral,5,1,0.525465839,1
6169,7/24/2020,42050,33,115140,1,703,19,Doctoral,11,0,0.500571429,1
18359,7/27/2020,60250,45,298750,2,366,27,Bachelor,2,1,0.730517943,0
20940,7/27/2020,76790,38,66830,5,449,17,Bachelor,13,1,0.186086007,1
22159,7/27/2020,92120,52,78170,1,752,27,Doctoral,2,1,0.261951009,1
19675,7/28/2020,74460,29,253330,8,768,11,Postgraduate,11,1,0.713805004,1
20474,7/28/2020,49130,58,128070,2,479,8,Bachelor,5,1,0.162950771,1
10391,7/28/2020,82430,46,265370,3,702,25,Bachelor,4,1,2.363380282,1
5476,7/28/2020,94780,27,169320,2,694,18,Bachelor,10,1,0.864382437,1
22272,7/28/2020,53010,41,134360,6,471,12,Doctoral,8,1,0.91968551,1
3572,7/29/2020,85860,50,290030,3,609,12,Bachelor,10,0,0.337958097,1
21472,7/29/2020,42200,33,211660,9,367,29,Doctoral,10,0,0.400639093,0
20233,7/29/2020,70380,50,61220,9,687,6,Postgraduate,1,0,0.394425762,0
11892,7/29/2020,87140,55,262550,2,557,2,Postgraduate,14,0,0.552455058,0
19046,7/29/2020,56970,34,179720,8,405,16,Bachelor,8,1,0.443365696,1
21592,7/29/2020,52700,35,210570,2,487,12,Doctoral,8,1,0.685874912,1
12212,7/30/2020,82330,42,291340,6,525,29,Postgraduate,2,0,0.211696216,1
12351,7/30/2020,92920,51,276730,6,427,25,Postgraduate,9,0,0.256537212,0
20432,7/30/2020,74670,22,291720,5,385,1,Bachelor,5,0,0.424763079,0
10995,7/30/2020,56830,21,291820,8,470,26,Postgraduate,7,1,0.2331408,0
5688,7/30/2020,75380,47,61200,1,732,11,Bachelor,8,0,0.469900317,0
7279,7/30/2020,43170,23,243650,8,578,11,High School,14,1,0.342173391,1
1197,7/30/2020,94360,59,87230,2,579,25,Postgraduate,8,1,0.12852813,0
19446,7/30/2020,35840,43,228190,7,680,27,Bachelor,2,1,0.263028917,1
9672,7/30/2020,87220,50,266760,3,320,22,Bachelor,12,0,1.4456674,0
17126,7/31/2020,40540,34,239070,1,498,22,Postgraduate,6,1,0.536420942,1
16248,7/31/2020,87000,35,50850,7,409,21,Bachelor,14,0,1.670344828,0
17933,7/31/2020,33120,53,61440,6,421,21,Doctoral,12,1,0.107716859,0
8341,7/31/2020,61780,27,208800,3,509,16,Bachelor,7,0,1.14801567,1
4900,8/3/2020,64360,57,200290,4,295,23,Postgraduate,6,0,0.285456421,0
17910,8/3/2020,83770,31,135270,7,451,26,High School,10,0,0.222197521,0
8491,8/3/2020,59120,51,255590,9,524,26,Doctoral,4,1,0.86803847,1
20637,8/4/2020,41440,48,230680,6,583,28,Doctoral,8,0,0.392916175,0
21895,8/4/2020,59160,30,123580,6,560,3,Bachelor,9,1,0.133624216,0
17272,8/4/2020,54190,54,137520,1,256,13,Postgraduate,10,1,1.809337626,1
4346,8/4/2020,47760,30,202830,1,714,21,Bachelor,8,0,0.40185255,0
9525,8/4/2020,49210,54,230280,5,333,17,Bachelor,6,0,1.516942261,0
18473,8/4/2020,63500,50,109440,9,469,21,Postgraduate,10,1,1.114308943,1
10530,8/4/2020,99230,28,284230,2,502,23,Bachelor,2,1,0.386829653,1
4288,8/4/2020,97910,33,197740,7,637,5,Bachelor,13,1,0.949144487,1
2536,8/4/2020,85970,51,139390,7,685,1,Postgraduate,2,1,1.248277689,1
5233,8/4/2020,66320,59,64210,7,399,2,Bachelor,8,1,0.471768415,1
6315,8/5/2020,46390,52,82990,2,789,26,Bachelor,5,1,1.37806908,0
10140,8/5/2020,55100,31,168350,5,364,22,Bachelor,14,1,0.185966487,1
1062,8/5/2020,43600,53,74500,8,693,21,Doctoral,13,0,0.468245894,0
1384,8/5/2020,96010,52,92140,7,709,7,Postgraduate,2,0,0.901945525,1
6135,8/6/2020,66890,50,93410,2,300,24,Bachelor,13,0,0.500570738,0
23198,8/6/2020,88670,50,127710,1,315,14,Doctoral,7,1,0.308879525,1
15606,8/7/2020,63910,23,243970,1,318,19,Bachelor,3,1,0.501540239,1
14199,8/7/2020,32980,37,275790,3,679,9,Doctoral,6,0,0.767189286,0
11900,8/7/2020,97530,42,113560,2,756,13,Postgraduate,1,1,0.335078823,0
23805,8/7/2020,70120,31,284510,7,375,21,Doctoral,5,0,0.641057229,0
20409,8/7/2020,49220,42,284490,9,432,18,Doctoral,6,0,0.436682063,0
19584,8/10/2020,86200,26,124890,7,474,13,Bachelor,4,1,0.397579724,1
23753,8/10/2020,35520,29,133290,3,460,3,Doctoral,5,0,0.555649622,0
2566,8/11/2020,52910,41,162430,8,773,17,Postgraduate,5,1,0.172495345,0
10503,8/11/2020,71190,33,240390,8,513,27,Postgraduate,3,0,0.63708573,0
9677,8/11/2020,33040,32,55190,1,551,2,Postgraduate,9,1,0.267371339,1
4907,8/11/2020,38640,57,169160,6,643,14,Postgraduate,10,0,1.045467709,1
4437,8/11/2020,67680,50,98740,6,377,12,Bachelor,14,1,0.573918829,1
12122,8/11/2020,41480,59,204830,6,796,21,Postgraduate,14,0,0.217700626,0
21135,8/11/2020,42430,53,245520,7,589,2,Postgraduate,6,1,0.121884517,1
5469,8/11/2020,39990,53,265730,9,554,12,Postgraduate,4,1,1.862210095,1
14785,8/11/2020,98720,54,100930,2,253,11,Doctoral,2,1,0.462411171,1
9232,8/11/2020,52840,57,293410,5,358,15,Doctoral,8,1,0.288689111,1
9283,8/11/2020,53740,52,164610,4,649,28,Bachelor,14,0,0.157324465,0
6861,8/11/2020,45600,39,187520,5,605,18,Bachelor,6,1,0.436989073,1
19647,8/12/2020,31230,44,265400,2,317,2,Doctoral,10,0,1.317890124,1
12301,8/12/2020,59050,48,94820,8,534,6,Postgraduate,9,0,0.699083228,1
11228,8/12/2020,69340,49,292240,2,720,28,Bachelor,2,1,1.71562228,0
4535,8/12/2020,47650,41,268220,2,711,17,Bachelor,12,0,0.448175497,0
16224,8/13/2020,94700,53,121120,1,450,22,High School,5,0,0.471906841,0
8433,8/13/2020,95100,43,72660,6,426,20,Bachelor,9,0,1.956799513,0
13866,8/13/2020,86990,46,255390,3,437,21,Bachelor,6,0,0.416421569,0
17853,8/14/2020,66570,30,187490,5,439,7,Bachelor,1,0,1.371702638,1
